transaction_id,user_id,date,transaction_type,category,amount,payment_mode,location,notes
T4999,U018,2023-04-25,Expense,educaton,3888.0,Card,Ahmedabad,Movie tickets
T12828,U133,2022-05-08,Expense,Rent,649.0,,Hyderabad,asdfgh
T7403,U091,2023-12-31,Income,Freelance,13239.0,Cash,Bangalore,Books
T12350,U097,,Expense,fod,6299.0,Bank Transfer,Ahmedabad,Electricity bill
T7495,U088,2022-10-28,Expense,Entertainment,2287.0,Card,Hyderabad,
T12465,U042,2024-11-04,Expense,Food,4168.0,,,test
T9824,U061,2024-12-12,Income,Salary,62061.0,Card,Ahmedabad,...
T0741,U053,2024-03-13,Expense,utilties,5070.0,UPI,Kolkata,Grocery shopping
T12403,U004,2023-10-11,Income,Other,59543.0,UPI,Lucknow,Gym membership
T5282,U016,2022-04-15,Expense,utilties,999999999.0,Card,Delhi,
T9446,U006,2022-06-29,Expense,utlities,5767.0,Bank Transfer,Bangalore,
T3016,U099,2022-02-24,Expense,rentt,23760.0,Card,Bangalore,Electricity bill
T11564,U148,2023-08-28,Expense,Food,898.0,UPI,Lucknow,Restaurant dinner
T11382,U111,2023-06-02,Income,Freelance,25143.0,Card,Chennai,
T3133,U024,2024-07-17,Expense,Rent,9567.0,Bank Transfer,Pune,ATM withdrawal
T1982,U089,2021-02-27,Income,Other,49683.0,,Lucknow,xyz123
T7154,U039,2024-09-21,Expense,Food,222.0,UPI,Bangalore,misc
T2699,U092,2023-02-25,Expense,Travel,2553.0,UPI,Lucknow,Doctor consultation
T5774,U005,2021-02-14,Expense,Food,7406.0,Card,Bangalore,xyz123
T12850,U076,2021-09-06,Expense,Rent,3010.0,UPI,Kolkata,
T5770,U107,,Expense,health,4846.0,Cash,che,Books
T6195,U038,2024-11-20,Income,Salary,855881.0,banktransfer,Jaipur,
T12096,U075,,Expense,Food,4452.0,Card,Bangalore,
T5731,U027,2023-04-02,Expense,Food,2206.0,Bank Transfer,,xyz123
T0909,U013,2024-04-20,Expense,Entertainment,7038.0,Card,jai,Gym membership
T7565,U075,2022-01-24,Expense,Travel,4286.0,banktransfer,Hyderabad,
T1653,U099,2024-12-16,Expense,education,8119.0,Card,Hyderabad,Books
T6239,U150,2021-12-28,Expense,education,4189.0,Card,Bangalore,Uber ride
T2849,U150,2022-10-10,Income,Investment,19947.0,bank transfr,Lucknow,Coffee
T4949,U101,2023-01-03,Expense,Food,3865.0,banktransfer,jai,
T3563,U007,2021-05-05,Expense,Travel,2407.0,Card,che,Internet bill
T10891,U055,2024-08-09,Expense,Food,3085.0,Card,Jaipur,Electricity bill
T10872,U080,2023-02-22,Expense,health,5252.0,,Delhi,Online course
T1215,U150,2023-12-29,Expense,Other,4823.0,Cash,Ahmedabad,...
T5293,U044,2021-02-23,Expense,helth,8497.0,,Kolkata,Gym membership
T12220,U122,2023-11-14,Expense,Food,999999.0,UPI,Lucknow,
T2003,U149,2021-04-15,Expense,Travel,8241.0,UPI,,Movie tickets
T9452,U062,2023-09-24,Expense,Rent,8579.0,Bank Transfer,Ahmedabad,...
T4924,U082,2022-05-25,Expense,Food,235.0,Card,Chennai,ATM withdrawal
T11911,U069,2023-06-22,Expense,Food,1263.0,UPI,Lucknow,
T11270,U022,2023-09-08,Expense,health,2134.0,bank transfr,jai,Books
T13032,U150,2021-06-19,Expense,education,2228.0,Cash,Delhi,Movie tickets
T0361,U055,2023-08-16,Expense,Utilities,1081.0,Card,Pune,
T7314,U103,2022-02-26,Expense,Entertainment,371.0,Cash,mum,Uber ride
T11430,U108,2021-10-07,Expense,Food,225.0,Card,Pune,!!!
T12663,U052,2023-04-15,Expense,Rent,23776.0,UPI,Bangalore,Doctor consultation
T6106,U008,2023-04-23,Expense,health,6707.0,Card,Delhi,
T1623,U017,2021-10-04,Expense,utlities,601.0,Bank Transfer,Jaipur,Medicine
T13765,U034,2024-05-09,Expense,Other,3219.0,Cash,Hyderabad,Internet bill
T10347,U017,,Expense,rnt,8182.0,Cash,,test
T5930,U011,2024-04-21,Expense,savings,8111.0,,Delhi,Grocery shopping
T4242,U053,2024-08-15,Income,Salary,41573.0,bank transfr,Mumbai,Coffee
T12437,U004,2024-01-12,Expense,edu,3110.0,banktransfer,Chennai,Doctor consultation
T8670,U030,2024-07-25,Expense,Food,4277.0,Card,Pune,Train ticket
T11341,U127,2024-01-17,Expense,Food,3047.0,Card,Mumbai,Grocery shopping
T9556,U008,2024-06-27,Income,Freelance,10183.0,,Delhi,
T2449,U028,2022-04-16,Expense,Travel,9888.0,Bank Transfer,Delhi,Shopping
T4357,U088,2024-03-07,Expense,rentt,7217.0,Cash,Delhi,Internet bill
T0815,U141,2021-05-10,Expense,education,9725.0,bank transfr,che,Restaurant dinner
T7919,U086,2023-05-27,Expense,Entertainment,9648.0,bank transfr,Kolkata,!!!
T5695,U061,2023-10-22,Expense,traval,1643.0,Card,Mumbai,Petrol
T3475,U046,2022-10-12,Income,Freelance,70075.0,UPI,Kolkata,Gym membership
T10128,U104,2024-06-09,Expense,,6228.0,Cash,Hyderabad,
